,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel,city_list
300,2017-10-28,29℃,18℃,晴,无持续风向,微风,76,良,2,广州
301,2017-10-29,28℃,18℃,多云,北风,4-5级,61,良,2,广州
302,2017-10-30,26℃,16℃,多云,北风,3-4级,69,良,2,广州
303,2017-10-31,25℃,16℃,多云,无持续风向,微风,67,良,2,广州
304,2017-11-01,27℃,16℃,晴,无持续风向,微风,86,良,2,广州
305,2017-11-02,27℃,16℃,多云,无持续风向,微风,95,良,2,广州
306,2017-11-03,27℃,17℃,晴,无持续风向,微风,69,良,2,广州
307,2017-11-04,26℃,16℃,多云,北风,4-5级,73,良,2,广州
308,2017-11-05,27℃,17℃,多云,无持续风向,微风,102,轻度污染,3,广州
309,2017-11-06,26℃,19℃,小雨,无持续风向,微风,78,良,2,广州
310,2017-11-07,24℃,18℃,中雨~小雨,无持续风向,微风,51,良,2,广州
311,2017-11-08,24℃,18℃,小雨~多云,无持续风向,微风,29,优,1,广州
312,2017-11-09,28℃,19℃,多云,无持续风向,微风,61,良,2,广州
313,2017-11-10,28℃,19℃,多云,无持续风向,微风,87,良,2,广州
314,2017-11-11,28℃,18℃,多云,无持续风向,微风,78,良,2,广州
315,2017-11-12,28℃,19℃,阵雨~多云,无持续风向,微风,70,良,2,广州
316,2017-11-13,26℃,20℃,多云,无持续风向,微风,62,良,2,广州
317,2017-11-14,24℃,19℃,阵雨,无持续风向,微风,41,优,1,广州
318,2017-11-15,24℃,19℃,阵雨~多云,无持续风向,微风,40,优,1,广州
319,2017-11-16,24℃,19℃,小雨,无持续风向,微风,60,良,2,广州
320,2017-11-17,27℃,19℃,多云~阴,无持续风向,微风,70,良,2,广州
321,2017-11-18,19℃,13℃,小雨,北风,4-5级,45,优,1,广州
322,2017-11-19,17℃,13℃,小雨,北风,4-5级,21,优,1,广州
323,2017-11-20,15℃,12℃,小雨~阴,北风,3-4级,18,优,1,广州
